Data,Open,High,Low,Close
18/08/2023 11:10:00,117.270,117.315,117.240,117.305
18/08/2023 11:05:00,117.410,117.445,117.230,117.270
18/08/2023 11:00:00,117.300,117.480,117.270,117.405
18/08/2023 10:55:00,117.360,117.410,117.205,117.300
18/08/2023 10:50:00,117.260,117.465,117.235,117.360
18/08/2023 10:45:00,117.290,117.365,117.080,117.260
18/08/2023 10:40:00,117.370,117.390,117.250,117.290
18/08/2023 10:35:00,117.075,117.415,116.980,117.370
18/08/2023 10:30:00,116.880,117.160,116.800,117.080
18/08/2023 10:25:00,116.615,116.930,116.595,116.880
18/08/2023 10:20:00,116.775,116.830,116.585,116.620
18/08/2023 10:15:00,116.755,116.870,116.635,116.775
18/08/2023 10:10:00,117.020,117.080,116.620,116.755
18/08/2023 10:05:00,116.880,117.040,116.720,117.020
18/08/2023 10:00:00,116.890,116.925,116.675,116.885
18/08/2023 09:55:00,116.950,116.995,116.845,116.885
18/08/2023 09:50:00,117.015,117.075,116.950,116.950
18/08/2023 09:45:00,116.995,117.035,116.945,117.015
18/08/2023 09:40:00,117.100,117.130,116.960,116.995
18/08/2023 09:35:00,117.145,117.180,117.060,117.095
18/08/2023 09:30:00,116.945,117.185,116.940,117.140
18/08/2023 09:25:00,116.930,117.000,116.910,116.945
18/08/2023 09:20:00,116.985,117.025,116.915,116.925
18/08/2023 09:15:00,116.985,117.020,116.910,116.985
18/08/2023 09:10:00,117.020,117.165,116.980,116.990
18/08/2023 09:05:00,116.890,117.030,116.810,117.025
18/08/2023 09:00:00,116.990,117.110,116.780,116.890
17/08/2023 17:50:00,117.190,117.250,117.130,117.250
17/08/2023 17:45:00,117.175,117.200,117.130,117.185
17/08/2023 17:40:00,117.135,117.190,117.135,117.180
17/08/2023 17:35:00,117.230,117.255,117.090,117.135
17/08/2023 17:30:00,117.170,117.260,117.165,117.225
17/08/2023 17:25:00,117.080,117.175,117.080,117.165
17/08/2023 17:20:00,117.080,117.125,117.075,117.085
17/08/2023 17:15:00,117.075,117.135,117.045,117.085
17/08/2023 17:10:00,117.155,117.160,117.075,117.075
17/08/2023 17:05:00,117.125,117.170,117.095,117.150
17/08/2023 17:00:00,117.095,117.190,117.070,117.125
17/08/2023 16:55:00,117.140,117.180,117.085,117.095
17/08/2023 16:50:00,117.040,117.165,117.040,117.135
17/08/2023 16:45:00,117.100,117.125,116.985,117.040
17/08/2023 16:40:00,117.095,117.175,117.070,117.100
17/08/2023 16:35:00,117.150,117.205,117.050,117.095
17/08/2023 16:30:00,117.290,117.300,117.060,117.150
17/08/2023 16:25:00,117.220,117.320,117.205,117.285
17/08/2023 16:20:00,117.255,117.290,117.135,117.225
17/08/2023 16:15:00,117.120,117.260,117.075,117.255
17/08/2023 16:10:00,117.060,117.150,117.050,117.115
17/08/2023 16:05:00,117.150,117.205,117.055,117.060
17/08/2023 16:00:00,117.280,117.325,117.150,117.150
17/08/2023 15:55:00,117.315,117.325,117.135,117.280
17/08/2023 15:50:00,117.280,117.380,117.255,117.310
17/08/2023 15:45:00,117.305,117.350,117.215,117.280
17/08/2023 15:40:00,117.310,117.375,117.260,117.305
17/08/2023 15:35:00,117.420,117.435,117.305,117.310
17/08/2023 15:30:00,117.445,117.450,117.365,117.420
17/08/2023 15:25:00,117.430,117.495,117.380,117.440
17/08/2023 15:20:00,117.280,117.430,117.230,117.430
17/08/2023 15:15:00,117.390,117.420,117.215,117.280
17/08/2023 15:10:00,117.445,117.450,117.375,117.390
17/08/2023 15:05:00,117.450,117.485,117.350,117.440
17/08/2023 15:00:00,117.520,117.530,117.350,117.450
17/08/2023 14:55:00,117.585,117.600,117.505,117.525
17/08/2023 14:50:00,117.550,117.605,117.525,117.580
17/08/2023 14:45:00,117.450,117.550,117.380,117.545
17/08/2023 14:40:00,117.600,117.660,117.375,117.450
17/08/2023 14:35:00,117.630,117.690,117.510,117.600
17/08/2023 14:30:00,117.695,117.710,117.620,117.630
17/08/2023 14:25:00,117.670,117.745,117.665,117.690
17/08/2023 14:20:00,117.670,117.715,117.600,117.670
17/08/2023 14:15:00,117.685,117.720,117.625,117.670
17/08/2023 14:10:00,117.700,117.715,117.650,117.690
17/08/2023 14:05:00,117.680,117.750,117.620,117.700
17/08/2023 14:00:00,117.855,117.880,117.675,117.680
17/08/2023 13:55:00,117.735,117.870,117.730,117.850
17/08/2023 13:50:00,117.730,117.755,117.670,117.730
17/08/2023 13:45:00,117.710,117.740,117.665,117.730
17/08/2023 13:40:00,117.715,117.760,117.680,117.710
17/08/2023 13:35:00,117.745,117.780,117.690,117.715
