time,open,high,low,close
2023-01-02 09:00:00,118798.0,118997.0,117953.0,118200.0
2023-01-02 09:05:00,118206.0,118308.0,118060.0,118087.0
2023-01-02 09:10:00,118093.0,118114.0,117808.0,118007.0
2023-01-02 09:15:00,118001.0,118017.0,117700.0,117808.0
2023-01-02 09:20:00,117808.0,118077.0,117695.0,118066.0
2023-01-02 09:25:00,118066.0,118093.0,117953.0,118007.0
2023-01-02 09:30:00,118012.0,118023.0,117802.0,117813.0
2023-01-02 09:35:00,117808.0,117888.0,117668.0,117765.0
2023-01-02 09:40:00,117759.0,117867.0,117721.0,117834.0
2023-01-02 09:45:00,117834.0,117964.0,117808.0,117921.0
2023-01-02 09:50:00,117921.0,117980.0,117883.0,117899.0
2023-01-02 09:55:00,117904.0,117964.0,117765.0,117791.0
2023-01-02 10:00:00,117791.0,117883.0,117662.0,117872.0
2023-01-02 10:05:00,117872.0,117931.0,117754.0,117770.0
2023-01-02 10:10:00,117765.0,117781.0,117221.0,117280.0
2023-01-02 10:15:00,117280.0,117657.0,117194.0,117501.0
2023-01-02 10:20:00,117506.0,117549.0,116807.0,117060.0
2023-01-02 10:25:00,117060.0,117124.0,116726.0,117017.0
2023-01-02 10:30:00,117011.0,117070.0,116914.0,117044.0
2023-01-02 10:35:00,117049.0,117070.0,116780.0,116823.0
2023-01-02 10:40:00,116823.0,116850.0,116247.0,116473.0
2023-01-02 10:45:00,116473.0,116543.0,115989.0,116102.0
2023-01-02 10:50:00,116097.0,116269.0,116059.0,116113.0
2023-01-02 10:55:00,116113.0,116253.0,116107.0,116215.0
2023-01-02 11:00:00,116215.0,116355.0,115785.0,115984.0
2023-01-02 11:05:00,115984.0,116016.0,115564.0,115752.0
2023-01-02 11:10:00,115752.0,115876.0,115650.0,115806.0
2023-01-02 11:15:00,115806.0,115844.0,115424.0,115715.0
2023-01-02 11:20:00,115715.0,116011.0,115698.0,115967.0
2023-01-02 11:25:00,115973.0,116113.0,115957.0,116075.0
2023-01-02 11:30:00,116070.0,116091.0,115666.0,115763.0
2023-01-02 11:35:00,115763.0,115865.0,115532.0,115763.0
2023-01-02 11:40:00,115763.0,115951.0,115709.0,115946.0
2023-01-02 11:45:00,115946.0,116011.0,115865.0,115935.0
2023-01-02 11:50:00,115930.0,116054.0,115887.0,115957.0
2023-01-02 11:55:00,115957.0,116070.0,115903.0,115967.0
2023-01-02 12:00:00,115967.0,115978.0,115672.0,115811.0
2023-01-02 12:05:00,115817.0,115833.0,115698.0,115747.0
2023-01-02 12:10:00,115736.0,115941.0,115736.0,115924.0
2023-01-02 12:15:00,115930.0,115951.0,115785.0,115849.0
2023-01-02 12:20:00,115849.0,115973.0,115752.0,115941.0
2023-01-02 12:25:00,115941.0,115989.0,115908.0,115941.0
2023-01-02 12:30:00,115941.0,115984.0,115849.0,115978.0
2023-01-02 12:35:00,115978.0,116000.0,115919.0,115973.0
2023-01-02 12:40:00,115973.0,115994.0,115941.0,115973.0
2023-01-02 12:45:00,115973.0,116054.0,115951.0,116054.0
2023-01-02 12:50:00,116048.0,116124.0,116016.0,116086.0
